"File","Minor","Major","Total","Ownership","Bugs"
"solr/src/test/org/apache/solr/analysis/CommonGramsFilterTest.java","0","3","3","0.3333333333333333","0"
"solr/src/test/org/apache/solr/analysis/TestIndonesianStemFilterFactory.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/TestGreekLowerCaseFilterFactory.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/TestBufferedTokenStream.java","0","3","3","0.6","0"
"solr/src/test/org/apache/solr/analysis/TestReverseStringFilterFactory.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestElisionFilterFactory.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/SnowballPorterFilterFactoryTest.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestFrenchMinimalStemFilterFactory.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/TestHyphenationCompoundWordTokenFilterFactory.java","0","1","1","1.0","0"
"solr/src/test/org/apache/solr/analysis/TestGermanLightStemFilterFactory.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/TestCapitalizationFilter.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestChineseFilterFactory.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestMappingCharFilterFactory.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestSpanishLightStemFilterFactory.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/CommonGramsQueryFilterFactoryTest.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestStopFilterFactory.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestGreekStemFilterFactory.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/TestPatternTokenizerFactory.java","0","4","4","0.4","0"
