sha,file,implicated
09961c3150b1a9ddaa88760d3a91f86542e5827d,maven-core/src/main/java/org/apache/maven/DefaultProjectDependencyGraph.java,1
5d50ceac1f5f40fcc7a36dea5589093f75978d1f,maven-project/src/test/java/org/apache/maven/project/ModelUtilsTest.java,1
5d50ceac1f5f40fcc7a36dea5589093f75978d1f,maven-project/src/main/java/org/apache/maven/project/injection/DefaultProfileInjector.java,1
5d50ceac1f5f40fcc7a36dea5589093f75978d1f,maven-project/src/test/java/org/apache/maven/project/injection/DefaultProfileInjectorTest.java,1
892ce50601c5153a5238ffe2ba8d5a83afe07ae3,maven-plugins/maven-site-plugin/src/main/java/org/apache/maven/doxia/DoxiaMojo.java,1
586709aadd290ed67e5f80e00a8dc555afb7f912,maven-core/src/main/java/org/apache/maven/plugin/internal/DefaultMavenPluginManager.java,1
d4396153d055817f583b4f3d491e33460e2082f1,maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java,1
43e640244e968f4dc225ca2246b5a722a15ff48b,maven-project/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java,1
1a63032af48a11ebb903b3937708860a9f288cda,maven-plugins/maven-site-plugin/src/main/java/org/apache/maven/doxia/DoxiaMojo.java,1
1a63032af48a11ebb903b3937708860a9f288cda,maven-core/src/main/java/org/apache/maven/plugin/PluginParameterExpressionEvaluator.java,1
1a63032af48a11ebb903b3937708860a9f288cda,maven-core/src/main/java/org/apache/maven/plugin/PluginManager.java,1
1a63032af48a11ebb903b3937708860a9f288cda,maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java,1
df8c87bba7f0aa736eb14e70ec2dc0c6c7c9cf2d,maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java,1
62149297e49e559f46e81a2a3fa221f1bac8523b,maven-artifact-manager/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java,1
5d0b74b0a4852b0293f4b93531ebcaefec89bf35,maven-project/src/main/java/org/apache/maven/profiles/DefaultProfileManager.java,1
f685d8605d2680e70b1ff2895947d2d11787e3c9,maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java,1
3979ed47d3d8ae0464f5a102f9ddd59199df8ac2,maven-embedder/src/main/java/org/apache/maven/embedder/MavenEmbedder.java,1
3408c163dcc87240690dcc1f3bc1b77d548645f3,maven-project/src/main/java/org/apache/maven/project/ModelUtils.java,1
3408c163dcc87240690dcc1f3bc1b77d548645f3,maven-project/src/main/java/org/apache/maven/project/injection/DefaultProfileInjector.java,1
3408c163dcc87240690dcc1f3bc1b77d548645f3,maven-project/src/test/java/org/apache/maven/project/injection/DefaultProfileInjectorTest.java,1
d179db875246965dd0629fb34ec5564076314834,maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java,1
5aa2078ab17c4c8e9f4c552597a2ab228b9fc7fa,maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java,1
5aa2078ab17c4c8e9f4c552597a2ab228b9fc7fa,maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java,1
00e365d2ced5674e3b8e542ba561cadbb52b90aa,maven-artifact-manager/src/main/java/org/apache/maven/artifact/repository/metadata/ArtifactRepositoryMetadata.java,1
00e365d2ced5674e3b8e542ba561cadbb52b90aa,maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionException.java,1
f17c4fefe467c3adb95420d96874353468b5e6ac,maven-core/src/main/java/org/apache/maven/execution/MavenExecutionRequest.java,1
add87f5f56e8939aa6d280e646418ae24f5da5dc,maven-embedder/src/main/java/org/apache/maven/embedder/execution/DefaultMavenExecutionRequestPopulator.java,1
dee7f572c1b3aa2c3ad7aad0f55852069813363b,maven-core/src/main/java/org/apache/maven/extension/DefaultExtensionManager.java,1
34aceea2eba969c5aa6e40d132188ca2796a9d3f,maven-project/src/test/java/org/apache/maven/project/builder/PomConstructionTest.java,1
8bf61afbd3c9bacc06d26e7cf2eca1ea13b2b67d,maven-artifact/src/main/java/org/apache/maven/artifact/versioning/VersionRange.java,1
309f26b810ec3aec89bb10670a2c62a524e6ad38,maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java,1
bcb912254b5527a8007a11651975002713c7d0de,maven-artifact/src/main/java/org/apache/maven/artifact/versioning/DefaultArtifactVersion.java,1
2b8143ef42d68d029b50b52b9ae35b0f32903da5,maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java,1
2b8143ef42d68d029b50b52b9ae35b0f32903da5,maven-core/src/main/java/org/apache/maven/DefaultMaven.java,1
9020e459a19b9ba7fbb3704c14aa38d6438de954,maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java,1
5b29c8a7ddd9f57ab9564141893f19b17aa32f3c,maven-artifact/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java,1
5b29c8a7ddd9f57ab9564141893f19b17aa32f3c,maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionException.java,1
11e305e84feac32860534853fa9c18887f8df2b6,maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java,1
11e305e84feac32860534853fa9c18887f8df2b6,maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java,1
40aacad4f0d2b0b33f3a70b971030c5d42afa167,maven-cli/src/main/java/org/apache/maven/cli/MavenCli.java,1
4ff21e67bdcd8a84aa7e99ac5148632e3f803313,maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java,1
8b6616cf3b53b77c40cbb0609b92f8d92da42934,maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java,1
8b6616cf3b53b77c40cbb0609b92f8d92da42934,maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java,1
