"issue_key","created","resolutiondate","days_to_solve"
"MNG-105","2005-01-07","2005-04-05","88"
"MNG-373","2005-05-09","2005-05-10","1"
"MNG-2814","2007-02-07","2008-12-28","690"
"MNG-895","2005-09-14","2005-10-02","18"
"MNG-4544","2010-01-22","2010-01-24","2"
"MNG-3843","2008-11-14","2008-11-22","8"
"MNG-2207","2006-04-06","2006-04-06","0"
"MNG-3206","2007-09-12","2007-11-05","54"
"MNG-1143","2005-10-09","2005-10-13","4"
"MNG-3243","2007-10-17","2007-10-17","0"
"MNG-3986","2009-01-12","2009-01-21","9"
"MNG-5445","2013-03-05","2013-03-13","8"
"MNG-3863","2008-11-20","2008-11-27","7"
"MNG-761","2005-08-21","2005-08-26","5"
"MNG-486","2005-06-17","2005-06-17","0"
"MNG-3426","2008-03-02","2008-03-21","19"
"MNG-3023","2007-05-30","2009-02-09","621"
"MNG-107","2005-01-09","2005-01-11","2"
"MNG-5153","2011-08-11","2011-08-11","0"
"MNG-3724","2008-08-22","2008-08-25","3"
"MNG-5289","2012-05-28","2013-01-31","248"
"MNG-4040","2009-02-17","2009-02-17","0"
"MNG-4588","2010-03-14","2012-12-01","993"
"MNG-1041","2005-09-28","2005-10-02","4"
"MNG-3941","2008-12-25","2009-07-30","217"
"MNG-3434","2008-03-04","2008-06-12","100"
"MNG-5019","2011-02-21","2011-02-24","3"
"MNG-5212","2011-12-06","2011-12-06","0"
"MNG-3716","2008-08-14","2008-08-14","0"
"MNG-4275","2009-08-02","2009-08-05","3"
"MNG-2098","2006-02-21","2009-09-25","1312"
"MNG-204","2005-03-15","2005-03-15","0"
"MNG-2900","2007-03-25","2007-03-26","1"
"MNG-4355","2009-09-11","2009-09-14","3"
"MNG-2309","2006-05-20","2006-05-20","0"
"MNG-5456","2013-03-28","2013-03-30","2"
"MNG-5313","2012-07-17","2012-07-18","1"
"MNG-167","2005-03-07","2005-04-26","50"
"MNG-818","2005-09-01","2005-10-04","33"
"MNG-493","2005-06-19","2005-06-20","1"
"MNG-4197","2009-06-13","2009-08-06","54"
"MNG-1394","2005-11-02","2005-11-16","14"
"MNG-3875","2008-11-27","2008-12-08","11"
"MNG-5003","2011-02-04","2011-02-07","3"
"MNG-530","2005-06-27","2005-07-21","24"
"MNG-4822","2010-09-18","2010-09-19","1"
"MNG-4187","2009-06-07","2009-06-24","17"
"MNG-5496","2013-07-18","2014-06-15","332"
"MNG-4273","2009-08-01","2009-08-07","6"
"MNG-1791","2005-12-08","2006-04-12","125"
"MNG-3500","2008-04-04","2008-04-14","10"
"MNG-696","2005-08-03","2005-08-03","0"
"MNG-2167","2006-03-22","2006-05-23","62"
"MNG-1244","2005-10-20","2005-10-24","4"
"MNG-301","2005-04-12","2005-04-13","1"
"MNG-4465","2009-11-23","2009-11-23","0"
"MNG-4522","2010-01-07","2010-01-24","17"
"MNG-424","2005-05-22","2005-05-23","1"
"MNG-3899","2008-12-13","2008-12-13","0"
"MNG-292","2005-04-11","2005-05-11","30"
"MNG-1122","2005-10-07","2005-10-11","4"
"MNG-3898","2008-12-13","2008-12-13","0"
"MNG-3252","2007-10-24","2007-10-24","0"
"MNG-3983","2009-01-12","2009-01-21","9"
"MNG-2377","2006-06-16","2007-11-05","507"
"MNG-4035","2009-02-12","2009-02-17","5"
"MNG-2171","2006-03-22","2010-01-06","1386"
"MNG-515","2005-06-24","2005-06-24","0"
"MNG-3610","2008-06-02","2009-12-30","576"
"MNG-3027","2007-05-31","2007-05-31","0"
"MNG-4776","2010-08-25","2010-08-25","0"
"MNG-5796","2015-04-01","2015-05-03","32"
"MNG-1320","2005-10-25","2005-11-08","14"
"MNG-1642","2005-11-21","2005-11-24","3"
"MNG-2692","2006-12-08","2007-01-03","26"
"MNG-254","2005-04-05","2005-04-21","16"
"MNG-3221","2007-09-25","2008-03-04","161"
"MNG-3506","2008-04-07","2009-07-23","472"
"MNG-3482","2008-03-26","2008-04-17","22"
"MNG-3769","2008-09-26","2009-01-21","117"
"MNG-5423","2013-01-14","2015-04-30","836"
"MNG-2503","2006-08-15","2007-06-01","290"
"MNG-1011","2005-09-23","2005-09-29","6"
"MNG-5349","2012-09-19","2014-07-05","654"
"MNG-1667","2005-11-23","2009-12-27","1495"
"MNG-2047","2006-02-07","2006-02-09","2"
"MNG-5206","2011-11-30","2011-12-07","7"
"MNG-5592","2014-02-25","2014-08-28","184"
"MNG-3938","2008-12-22","2009-01-07","16"
"MNG-4356","2009-09-11","2009-09-11","0"
"MNG-3003","2007-05-22","2007-05-22","0"
"MNG-2052","2006-02-08","2006-03-08","28"
"MNG-4510","2010-01-01","2010-01-01","0"
"MNG-3877","2008-11-29","2009-02-09","72"
"MNG-786","2005-08-25","2005-10-01","37"
"MNG-4761","2010-08-11","2010-08-11","0"
