,commit_hash,file,implicated
37,0cf79e3e66d713ccb3383731309593be5ad81157,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestFileUtil.java,1
38,1e1591788da485db8d4bb4f350c9bd196f8cc796,hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/KerberosAuthenticator.java,1
39,8bf2a0de69547ac50b6e8c36ff7f13b028525641,hadoop-common-project/hadoop-kms/src/test/java/org/apache/hadoop/crypto/key/kms/server/TestKMS.java,1
40,de7911b528c96f0c0f7187ff23ad78efbbe7f47d,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestFileUtil.java,1
41,de7911b528c96f0c0f7187ff23ad78efbbe7f47d,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FileUtil.java,1
42,dbecbe5dfe50f834fc3b8401709079e9470cc517,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/webapp/AppController.java,1
43,dbecbe5dfe50f834fc3b8401709079e9470cc517,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/BaseContainerManagerTest.java,1
44,dbecbe5dfe50f834fc3b8401709079e9470cc517,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/DefaultContainerExecutor.java,1
45,dbecbe5dfe50f834fc3b8401709079e9470cc517,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/ContainerExecutor.java,1
46,dbecbe5dfe50f834fc3b8401709079e9470cc517,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/webapp/example/MyApp.java,1
47,dbecbe5dfe50f834fc3b8401709079e9470cc517,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/webapp/WebApp.java,1
48,dbecbe5dfe50f834fc3b8401709079e9470cc517,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/webapp/hamlet/HamletGen.java,1
