"issue_key","created","resolutiondate","days_to_solve"
"CAMEL-5951","2013-01-10","2013-01-19","9"
"CAMEL-4695","2011-11-18","2011-11-18","0"
"CAMEL-2509","2010-03-01","2010-03-01","0"
"CAMEL-3847","2011-04-08","2011-04-08","0"
"CAMEL-5877","2012-12-14","2012-12-18","4"
"CAMEL-1547","2009-04-20","2009-04-30","10"
"CAMEL-2320","2009-12-24","2009-12-25","1"
"CAMEL-8286","2015-01-27","2015-02-15","19"
"CAMEL-6889","2013-10-23","2013-10-23","0"
"CAMEL-4274","2011-07-27","2011-07-27","0"
"CAMEL-340","2008-02-17","2008-02-28","11"
"CAMEL-3036","2010-08-09","2010-08-09","0"
"CAMEL-5468","2012-07-25","2012-07-26","1"
"CAMEL-6991","2013-11-21","2013-11-22","1"
"CAMEL-7009","2013-11-26","2013-12-03","7"
"CAMEL-8748","2015-05-06","2015-07-27","82"
"CAMEL-3295","2010-10-30","2010-12-07","38"
"CAMEL-1270","2009-01-18","2009-01-18","0"
"CAMEL-5526","2012-08-21","2012-08-26","5"
"CAMEL-1480","2009-03-24","2009-03-24","0"
"CAMEL-8431","2015-03-03","2015-03-04","1"
"CAMEL-4089","2011-06-11","2011-06-11","0"
"CAMEL-2089","2009-10-21","2009-10-21","0"
"CAMEL-1443","2009-03-10","2009-03-12","2"
"CAMEL-5367","2012-06-14","2012-06-18","4"
"CAMEL-7449","2014-05-20","2014-05-22","2"
"CAMEL-5733","2012-10-22","2012-10-23","1"
"CAMEL-257","2007-12-05","2008-03-09","95"
"CAMEL-1367","2009-02-21","2009-02-21","0"
"CAMEL-7369","2014-04-15","2014-04-15","0"
"CAMEL-2245","2009-12-01","2009-12-01","0"
"CAMEL-1202","2008-12-24","2009-02-10","48"
"CAMEL-6189","2013-03-20","2013-03-20","0"
"CAMEL-6714","2013-09-07","2013-09-08","1"
"CAMEL-399","2008-03-26","2008-03-27","1"
"CAMEL-8783","2015-05-19","2015-05-20","1"
"CAMEL-7478","2014-06-04","2014-06-06","2"
"CAMEL-7772","2014-09-01","2014-09-01","0"
"CAMEL-7107","2014-01-06","2014-01-10","4"
"CAMEL-2032","2009-09-21","2009-09-21","0"
"CAMEL-457","2008-04-10","2008-04-12","2"
"CAMEL-2958","2010-07-16","2010-07-17","1"
"CAMEL-1366","2009-02-20","2009-02-27","7"
"CAMEL-1960","2009-08-29","2009-08-29","0"
"CAMEL-6847","2013-10-09","2013-10-25","16"
"CAMEL-2995","2010-07-26","2010-07-29","3"
"CAMEL-8100","2014-12-01","2014-12-02","1"
"CAMEL-7803","2014-09-11","2014-09-16","5"
"CAMEL-5046","2012-02-27","2012-02-27","0"
"CAMEL-8453","2015-03-06","2015-03-06","0"
"CAMEL-597","2008-06-09","2008-06-09","0"
"CAMEL-8001","2014-11-06","2014-12-05","29"
"CAMEL-7919","2014-10-16","2014-10-27","11"
"CAMEL-8829","2015-06-03","2015-06-04","1"
"CAMEL-7836","2014-09-18","2014-09-21","3"
"CAMEL-3484","2011-01-04","2011-01-04","0"
"CAMEL-1982","2009-09-02","2009-09-02","0"
"CAMEL-6374","2013-05-17","2013-05-17","0"
"CAMEL-4530","2011-10-09","2011-10-09","0"
"CAMEL-2678","2010-04-27","2010-04-28","1"
"CAMEL-4670","2011-11-11","2011-11-14","3"
"CAMEL-818","2008-08-13","2008-08-15","2"
"CAMEL-3537","2011-01-13","2011-01-13","0"
"CAMEL-5655","2012-09-27","2012-09-27","0"
"CAMEL-8747","2015-05-06","2015-05-06","0"
"CAMEL-4167","2011-06-30","2011-07-01","1"
"CAMEL-629","2008-06-23","2008-06-23","0"
"CAMEL-2475","2010-02-16","2010-03-24","36"
"CAMEL-6101","2013-02-26","2013-03-01","3"
"CAMEL-4365","2011-08-22","2011-08-22","0"
"CAMEL-7806","2014-09-11","2014-09-11","0"
"CAMEL-6333","2013-05-03","2013-05-14","11"
"CAMEL-7052","2013-12-09","2014-01-04","26"
"CAMEL-8011","2014-11-07","2014-11-07","0"
"CAMEL-8510","2015-03-19","2015-03-19","0"
"CAMEL-2962","2010-07-19","2010-07-19","0"
"CAMEL-8274","2015-01-23","2015-02-12","20"
"CAMEL-6172","2013-03-17","2013-03-17","0"
"CAMEL-7262","2014-03-03","2014-03-04","1"
"CAMEL-7130","2014-01-13","2014-01-13","0"
"CAMEL-607","2008-06-13","2008-06-13","0"
"CAMEL-8592","2015-04-02","2015-04-03","1"
"CAMEL-7085","2013-12-20","2013-12-22","2"
"CAMEL-2228","2009-11-25","2009-11-26","1"
"CAMEL-4362","2011-08-21","2011-11-22","93"
"CAMEL-5429","2012-07-07","2012-07-08","1"
"CAMEL-2675","2010-04-26","2010-04-26","0"
"CAMEL-6936","2013-11-05","2013-11-11","6"
"CAMEL-2378","2010-01-18","2010-01-19","1"
"CAMEL-4768","2011-12-12","2011-12-13","1"
"CAMEL-8791","2015-05-22","2015-05-27","5"
"CAMEL-1091","2008-11-14","2008-11-17","3"
"CAMEL-8964","2015-07-14","2015-07-14","0"
"CAMEL-6127","2013-03-04","2013-03-04","0"
"CAMEL-2221","2009-11-24","2009-11-24","0"
"CAMEL-7304","2014-03-17","2014-03-18","1"
"CAMEL-2742","2010-05-20","2010-05-21","1"
"CAMEL-6242","2013-04-05","2013-04-05","0"
"CAMEL-6557","2013-07-17","2013-08-23","37"
"CAMEL-6503","2013-07-01","2013-07-02","1"
"CAMEL-315","2008-02-01","2008-02-28","27"
"CAMEL-7224","2014-02-19","2014-11-07","261"
"CAMEL-4079","2011-06-09","2011-06-09","0"
"CAMEL-7701","2014-08-14","2014-08-15","1"
"CAMEL-641","2008-06-27","2008-06-28","1"
"CAMEL-972","2008-10-09","2008-10-09","0"
"CAMEL-5222","2012-04-26","2012-04-26","0"
"CAMEL-8455","2015-03-06","2015-03-09","3"
"CAMEL-4252","2011-07-20","2011-07-20","0"
"CAMEL-524","2008-05-16","2008-05-19","3"
"CAMEL-3535","2011-01-12","2011-01-14","2"
"CAMEL-3885","2011-04-20","2011-04-20","0"
"CAMEL-7410","2014-05-05","2014-05-05","0"
"CAMEL-4698","2011-11-20","2011-11-21","1"
"CAMEL-2410","2010-01-27","2010-01-28","1"
"CAMEL-5060","2012-03-04","2012-06-02","90"
"CAMEL-3050","2010-08-12","2010-08-12","0"
"CAMEL-3314","2010-11-05","2010-11-05","0"
"CAMEL-6800","2013-09-30","2013-09-30","0"
"CAMEL-8160","2014-12-17","2014-12-21","4"
"CAMEL-8082","2014-11-27","2014-12-03","6"
"CAMEL-1752","2009-06-24","2009-06-24","0"
