,commit_hash,file,implicated
46,02178a126cc6228b70d12722593723fe15b14169,camel-core/src/main/java/org/apache/camel/builder/LoggingErrorHandlerBuilder.java,1
47,21936a5d94d3ea01ab478de1c81349d99cab97db,components/camel-xmpp/src/main/java/org/apache/camel/component/xmpp/XmppMessage.java,1
48,977648a7eb55c534a32476b028166fff6904fec9,camel-core/src/main/java/org/apache/camel/component/file/FileConsumer.java,1
49,232f61dbb8c43a3e346138d174d823ad62d05967,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/cxfbean/CxfBeanEndpoint.java,1
50,d8156594b608af89b3e4e7eb11dd836f7a1ef43b,components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfPayLoadMessageRouterTest.java,1
51,485d9d70fd60d910d3a05cea441c9c1fbe2e0dec,camel-core/src/test/java/org/apache/camel/processor/interceptor/StreamCachingInterceptorTest.java,1
52,485d9d70fd60d910d3a05cea441c9c1fbe2e0dec,camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,1
53,485d9d70fd60d910d3a05cea441c9c1fbe2e0dec,camel-core/src/main/java/org/apache/camel/converter/stream/StreamCacheConverter.java,1
54,485d9d70fd60d910d3a05cea441c9c1fbe2e0dec,camel-core/src/test/java/org/apache/camel/converter/stream/StreamCacheConverterTest.java,1
55,485d9d70fd60d910d3a05cea441c9c1fbe2e0dec,camel-core/src/main/java/org/apache/camel/converter/IOConverter.java,1
56,485d9d70fd60d910d3a05cea441c9c1fbe2e0dec,camel-core/src/main/java/org/apache/camel/processor/interceptor/StreamCachingInterceptor.java,1
57,9270775b50a840e404a2fc8f7bede963b3a01fa0,camel-core/src/main/java/org/apache/camel/builder/ErrorHandlerBuilder.java,1
58,ebdf14b0f7560a984bb892a3a502f884c11bdbaf,camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,1
59,23b6826364a8db92ee78258d09b9c1ce7ca9587c,camel-core/src/main/java/org/apache/camel/model/loadbalancer/CustomLoadBalancerDefinition.java,1
