sha,file,implicated
b093da3c4bcaa0edad52e47d174c7e768043f47c,camel-core/src/main/java/org/apache/camel/util/ObjectHelper.java,1
0c13d3011e90353c91160f19f0e54d63a94ee881,components/camel-xmpp/src/main/java/org/apache/camel/component/xmpp/XmppConsumer.java,1
2b965b2cae22357e0f7a389ec365e153e4f778fd,camel-core/src/main/java/org/apache/camel/component/seda/SedaEndpoint.java,1
ac1c73167096bb11ba47e8fd11260556f75c4a5a,camel-core/src/main/java/org/apache/camel/impl/osgi/Activator.java,1
5dd8d352fef28f8cc31232c49d78e0e8d206696c,camel-core/src/main/java/org/apache/camel/util/ResolverUtil.java,1
b8f68ff7e4567bc20254d6178e855bd54e51c148,components/camel-spring/src/test/java/org/apache/camel/spring/interceptor/TransactionalClientDataSourceTest.java,1
39c121ce766021d2e3a427c8fcd1c59e0c92658d,components/camel-hbase/src/main/java/org/apache/camel/component/hbase/mapping/HeaderMappingStrategy.java,1
df18cc87de42ac547fddf57b40518573dc2ab4f5,camel-core/src/main/java/org/apache/camel/impl/DefaultPackageScanClassResolver.java,1
df18cc87de42ac547fddf57b40518573dc2ab4f5,camel-core/src/test/java/org/apache/camel/impl/scan/DefaultPackageScanClassResolverTest.java,1
bfd2939754b49975232b78ecb52e040f56c22744,components/camel-http/src/main/java/org/apache/camel/component/http/DefaultHttpBinding.java,1
bfd2939754b49975232b78ecb52e040f56c22744,components/camel-http4/src/main/java/org/apache/camel/component/http4/DefaultHttpBinding.java,1
e34ee63cdb068b0bf7062bdb24446bddfc06ba66,camel-core/src/main/java/org/apache/camel/util/CamelContextHelper.java,1
b49154101a82f12dbcbdfe8447009c3d8624d050,camel-core/src/main/java/org/apache/camel/processor/BatchProcessor.java,1
b49154101a82f12dbcbdfe8447009c3d8624d050,camel-core/src/main/java/org/apache/camel/processor/Resequencer.java,1
b49154101a82f12dbcbdfe8447009c3d8624d050,camel-core/src/main/java/org/apache/camel/processor/aggregate/UseLatestAggregationStrategy.java,1
b49154101a82f12dbcbdfe8447009c3d8624d050,camel-core/src/main/java/org/apache/camel/processor/Aggregator.java,1
9041239036fd53a40ff6708e982882a77182e5b6,components/camel-jetty/src/main/java/org/apache/camel/component/jetty/JettyHttpComponent.java,1
9041239036fd53a40ff6708e982882a77182e5b6,components/camel-http4/src/test/java/org/apache/camel/component/http4/HttpClientConfigurerTest.java,1
9041239036fd53a40ff6708e982882a77182e5b6,components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpComponent.java,1
a0f4be4cbcfbeb9a7facc6b03c4c5d5414c2d10c,components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsProducer.java,1
4c062624b8f8f40555b82e8f1c2993c1ad5d789b,camel-core/src/main/java/org/apache/camel/model/ChoiceDefinition.java,1
079093ec0ec494d27d58afc0bb6f7a7bd7a0f279,camel-core/src/test/java/org/apache/camel/component/bean/BeanMethodWithEmptyParameterAndNoMethodWithNoParameterIssueTest.java,1
c9e6e90d7d4ae4cb15174b133879b1fcf4cb7983,camel-core/src/main/java/org/apache/camel/component/seda/SedaConsumer.java,1
c9e6e90d7d4ae4cb15174b133879b1fcf4cb7983,camel-core/src/main/java/org/apache/camel/impl/LoggingExceptionHandler.java,1
c9e6e90d7d4ae4cb15174b133879b1fcf4cb7983,camel-core/src/main/java/org/apache/camel/util/ExchangeHelper.java,1
c9e6e90d7d4ae4cb15174b133879b1fcf4cb7983,camel-core/src/main/java/org/apache/camel/component/timer/TimerConsumer.java,1
4ba91a1d6da4e6e2f3746f2ecd518d2da28b974f,components/camel-netty/src/main/java/org/apache/camel/component/netty/NettyConfiguration.java,1
4ba91a1d6da4e6e2f3746f2ecd518d2da28b974f,components/camel-netty/src/main/java/org/apache/camel/component/netty/ClientPipelineFactory.java,1
88ca359343c3a96786d435985f46841eeffcfb6e,camel-core/src/main/java/org/apache/camel/builder/DefaultErrorHandlerBuilder.java,1
88ca359343c3a96786d435985f46841eeffcfb6e,camel-core/src/test/java/org/apache/camel/processor/onexception/OnExceptionComplexWithNestedErrorHandlerRouteWithDefaultErrorHandlerTest.java,1
88ca359343c3a96786d435985f46841eeffcfb6e,camel-core/src/test/java/org/apache/camel/processor/onexception/OnExceptionHandleAndTransformWithDefaultErrorHandlerTest.java,1
88ca359343c3a96786d435985f46841eeffcfb6e,camel-core/src/main/java/org/apache/camel/processor/DefaultErrorHandler.java,1
88ca359343c3a96786d435985f46841eeffcfb6e,camel-core/src/test/java/org/apache/camel/processor/DefaultErrorHandlerOnExceptionTest.java,1
ce3a6917df485ee3bd943513eb87eb8a17b00cdd,components/camel-quartz2/src/main/java/org/apache/camel/component/quartz2/QuartzEndpoint.java,1
5d5591e19be035a9a518281f72d9862652bb129a,components/camel-netty/src/main/java/org/apache/camel/component/netty/NettyProducer.java,1
5d5591e19be035a9a518281f72d9862652bb129a,components/camel-netty/src/main/java/org/apache/camel/component/netty/NettyClientBossPoolBuilder.java,1
b65975704c8cb6caa34171974bb3c55d8959ec49,camel-core/src/main/java/org/apache/camel/processor/aggregate/AggregateProcessor.java,1
460e4052a3f68da96d3c7d57d852e44588718bf1,components/camel-blueprint/src/main/java/org/apache/camel/blueprint/BlueprintCamelContext.java,1
03eb292bab1fd190eaaab9e0135acad87671288f,camel-core/src/main/java/org/apache/camel/converter/stream/CachedOutputStream.java,1
03eb292bab1fd190eaaab9e0135acad87671288f,camel-core/src/main/java/org/apache/camel/converter/stream/FileInputStreamCache.java,1
