"issue_key","created","resolutiondate","days_to_solve"
"SOLR-4576","2013-03-13","2013-03-15","2"
"SOLR-748","2008-09-02","2009-04-30","240"
"SOLR-1826","2010-03-16","2011-01-26","316"
"LUCENE-3368","2011-08-09","2011-08-10","1"
"SOLR-3592","2012-07-03","2013-05-21","322"
"LUCENE-2736","2010-11-03","2011-05-17","195"
"SOLR-6165","2014-06-12","2014-06-22","10"
"LUCENE-316","2004-11-24","2006-05-27","549"
"LUCENE-4218","2012-07-12","2012-09-04","54"
"SOLR-4175","2012-12-12","2012-12-28","16"
"LUCENE-757","2006-12-21","2006-12-21","0"
"LUCENE-212","2004-04-04","2008-01-11","1377"
"LUCENE-4534","2012-11-04","2012-11-05","1"
"SOLR-5162","2013-08-15","2013-08-17","2"
"SOLR-5261","2013-09-23","2013-09-24","1"
"LUCENE-4836","2013-03-15","2013-03-15","0"
"SOLR-6589","2014-10-05","2014-10-07","2"
"LUCENE-5724","2014-06-01","2014-06-02","1"
"SOLR-1840","2010-03-24","2010-04-11","18"
"LUCENE-2208","2010-01-13","2012-01-24","741"
"LUCENE-4173","2012-06-28","2012-09-12","76"
"SOLR-1077","2009-03-20","2009-03-20","0"
"SOLR-3137","2012-02-16","2012-04-30","74"
"LUCENE-456","2005-10-17","2005-11-11","25"
"SOLR-6818","2014-12-04","2014-12-04","0"
"LUCENE-4971","2013-05-01","2013-06-20","50"
"LUCENE-5842","2014-07-23","2014-07-23","0"
"SOLR-5915","2014-03-26","2014-03-27","1"
"SOLR-5565","2013-12-20","2013-12-23","3"
"LUCENE-2467","2010-05-17","2010-05-26","9"
"SOLR-2034","2010-08-09","2010-08-27","18"
"SOLR-2608","2011-06-19","2012-12-14","544"
"LUCENE-4582","2012-12-01","2014-02-23","449"
"LUCENE-2353","2010-03-27","2010-03-31","4"
"LUCENE-1224","2008-03-12","2013-04-26","1871"
"SOLR-6573","2014-09-30","2014-10-21","21"
"LUCENE-4038","2012-05-07","2012-05-07","0"
"LUCENE-3476","2011-09-29","2011-10-01","2"
"SOLR-779","2008-09-19","2008-09-19","0"
"SOLR-7682","2015-06-15","2015-06-16","1"
"SOLR-2770","2011-09-15","2012-01-17","124"
"SOLR-7","2006-04-06","2006-04-08","2"
"LUCENE-5958","2014-09-17","2014-09-23","6"
"SOLR-2467","2011-04-14","2011-05-02","18"
"LUCENE-6329","2015-03-03","2015-03-03","0"
"LUCENE-6514","2015-06-01","2015-06-01","0"
"LUCENE-5398","2014-01-13","2014-01-31","18"
"SOLR-5550","2013-12-12","2014-03-24","102"
"LUCENE-6639","2015-06-29","2015-07-06","7"
"SOLR-3459","2012-05-16","2012-05-21","5"
"LUCENE-564","2006-05-07","2006-05-13","6"
"SOLR-4705","2013-04-12","2013-04-26","14"
"SOLR-3148","2012-02-20","2012-02-23","3"
"SOLR-2469","2011-04-15","2011-04-15","0"
"LUCENE-2629","2010-08-30","2010-08-31","1"
"SOLR-704","2008-08-15","2008-08-15","0"
