"sha","file","commit_ownership","line_ownership_added","line_ownership_deleted","total_contributors","total_lines_added","total_lines_deleted","major_contributors","minor_contributors","lines_added_major_contributors","lines_added_minor_contributors","lines_deleted_major_contributors","lines_deleted_minor_contributors","implicated"
"00ae476b2e9adfd96e816bfd70429fd4fd43d490","lucene/test-framework/src/java/org/apache/lucene/index/ThreadedIndexingAndSearchingTestCase.java",0.388888888888889,0.795843520782396,0.357664233576642,9,818,137,5,4,2,7,5,4,0
"00c04e17df3e479a6f38da2b96e295413bd5fa63","lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextSimpleDocValuesFormat.java",0.481481481481481,0.615384615384615,0.881656804733728,3,923,338,2,1,2,1,2,1,0
"00c04e17df3e479a6f38da2b96e295413bd5fa63","lucene/core/src/java/org/apache/lucene/index/DocFieldProcessor.java",0.375,0.605902777777778,0.593406593406593,5,576,91,4,1,4,1,4,1,0
"00d65636b163364c2f95aba67d71134040e88848","lucene/core/src/java/org/apache/lucene/search/IndexSearcher.java",0.226415094339623,0.560350640593392,0.481528662420382,13,1483,785,5,8,4,9,4,9,0
"00d65636b163364c2f95aba67d71134040e88848","lucene/core/src/test/org/apache/lucene/search/TestBooleanQuery.java",0.25,0.444959443800695,0.257142857142857,12,863,105,7,5,3,9,6,6,0
"00d65636b163364c2f95aba67d71134040e88848","lucene/core/src/test/org/apache/lucene/search/TestConstantScoreQuery.java",0.36,0.559440559440559,0.326923076923077,10,286,52,4,6,3,7,5,5,0
"00d65636b163364c2f95aba67d71134040e88848","lucene/test-framework/src/java/org/apache/lucene/util/LuceneTestCase.java",0.34070796460177,0.330582774626096,0.62363315696649,18,5817,2835,4,14,5,13,3,15,1
"00e00a4e2c32bea5cd95f6e66a9321aedf58876b","lucene/test-framework/src/java/org/apache/lucene/index/BaseDocValuesFormatTestCase.java",0.612903225806452,0.792952460383653,0.739757207890744,10,4796,1318,3,7,3,7,3,7,0
"00ed9714fe8b939a45291fe5272e5db802439f40","lucene/core/src/java/org/apache/lucene/util/fst/Util.java",0.552631578947368,0.392041267501842,0.663101604278075,10,1357,374,4,6,3,7,2,8,1
"00ed9714fe8b939a45291fe5272e5db802439f40","lucene/core/src/test/org/apache/lucene/util/fst/TestFSTs.java",0.425531914893617,0.706981664315938,0.72654370489174,12,2836,1247,4,8,3,9,3,9,1
"00ed9714fe8b939a45291fe5272e5db802439f40","lucene/suggest/src/java/org/apache/lucene/search/suggest/analyzing/AnalyzingSuggester.java",0.645833333333333,0.880597014925373,0.63448275862069,8,1340,435,3,5,1,7,5,3,0
"01050d752a57c84735f8422a972630ddf1b69e04","lucene/classification/src/java/org/apache/lucene/classification/SimpleNaiveBayesClassifier.java",0.72,0.954128440366973,0.898550724637681,5,436,138,2,3,1,4,2,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/highlighter/src/test/org/apache/lucene/search/highlight/HighlighterTest.java",0.451612903225806,0.788135593220339,0.467479674796748,5,2478,492,4,1,3,2,3,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/memory/src/test/org/apache/lucene/index/memory/MemoryIndexTest.java",0.739130434782609,0.700123915737299,0.97766323024055,6,807,582,2,4,2,4,1,5,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/spatial/src/test/org/apache/lucene/spatial/tier/TestCartesian.java",0.37037037037037,0.695652173913043,0.37953795379538,7,782,303,5,2,3,4,5,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/java/org/apache/lucene/search/IndexSearcher.java",0.341463414634146,0.462083628632176,0.374161073825503,6,1411,596,4,2,4,2,4,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestBackwardsCompatibility.java",0.311688311688312,0.402994385527137,0.322505800464037,9,1603,862,5,4,6,3,6,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestCodecs.java",0.353846153846154,0.529310344827586,0.285714285714286,6,1160,532,4,2,5,1,4,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestDeletionPolicy.java",0.434782608695652,0.545136459062281,0.396325459317585,7,1429,762,5,2,4,3,4,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestIndexReaderReopen.java",0.433962264150943,0.550705467372134,0.820065430752454,8,2268,1834,4,4,3,5,2,6,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestIndexWriterDelete.java",0.32258064516129,0.514819587628866,0.387706855791962,8,1552,423,5,3,4,4,5,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestIndexWriter.java",0.44,0.510450333979746,0.5585873033337,10,9282,9089,5,5,4,6,3,7,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestIndexWriterReader.java",0.411764705882353,0.526984126984127,0.595555555555556,7,1575,450,4,3,4,3,4,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestLazyProxSkipping.java",0.325581395348837,0.471014492753623,0.337837837837838,7,414,148,5,2,4,3,6,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestNRTThreads.java",0.615384615384615,0.627755102040816,0.923076923076923,5,1225,702,4,1,2,3,1,4,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestOmitTf.java",0.512820512820513,0.623123123123123,0.63677130044843,6,666,223,5,1,3,3,3,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestParallelReader.java",0.68,0.613778705636743,0.372372372372372,5,479,333,3,2,2,3,4,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestStressIndexing.java",0.461538461538462,0.835616438356164,0.5,6,219,50,5,1,2,4,5,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java",0.636363636363636,0.50763358778626,0.710526315789474,7,524,152,4,3,3,4,5,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/payloads/TestPayloadTermQuery.java",0.6,0.644660194174757,0.694444444444444,7,515,144,4,3,2,5,5,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/spans/TestBasics.java",0.558823529411765,0.504492939666239,0.440559440559441,8,779,143,4,4,3,5,5,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/spans/TestFieldMaskingSpanQuery.java",0.6,0.817966903073286,0.716216216216216,6,423,74,3,3,2,4,4,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/spans/TestNearSpansOrdered.java",0.464285714285714,0.684410646387833,0.430555555555556,7,263,72,5,2,3,4,5,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/spans/TestPayloadSpans.java",0.541666666666667,0.732590529247911,0.407608695652174,6,718,184,4,2,3,3,5,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/spans/TestSpansAdvanced.java",0.636363636363636,0.347022587268994,0.524752475247525,4,487,303,3,1,3,1,2,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/spans/TestSpans.java",0.514285714285714,0.745762711864407,0.488372093023256,6,649,129,5,1,3,3,5,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestAutomatonQuery.java",0.590909090909091,0.760869565217391,0.52112676056338,4,276,71,3,1,3,1,3,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestBoolean2.java",0.605263157894737,0.53971119133574,0.487046632124352,7,554,193,5,2,4,3,5,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestBooleanMinShouldMatch.java",0.64,0.804123711340206,0.649484536082474,5,485,97,3,2,2,3,3,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestBooleanQuery.java",0.590909090909091,0.438953488372093,0.549019607843137,6,344,51,4,2,4,2,4,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestBooleanScorer.java",0.636363636363636,0.370909090909091,0.601941747572815,6,275,103,3,3,4,2,3,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestCachingWrapperFilter.java",0.352941176470588,0.443359375,0.374501992031873,6,512,251,4,2,5,1,4,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestDisjunctionMaxQuery.java",0.558823529411765,0.339819318971508,0.493033226152197,6,1439,933,5,1,3,3,2,4,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestExplanations.java",0.625,0.753846153846154,0.463917525773196,6,325,97,3,3,2,4,4,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestFilteredQuery.java",0.517241379310345,0.533980582524272,0.40625,7,412,96,4,3,4,3,5,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestFuzzyQuery.java",0.681818181818182,0.60347551342812,0.656976744186046,6,633,172,3,3,3,3,3,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestMatchAllDocsQuery.java",0.636363636363636,0.714285714285714,0.738095238095238,5,189,84,3,2,3,2,3,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestMultiPhraseQuery.java",0.5,0.274473924977127,0.563894523326572,7,1093,493,4,3,5,2,2,5,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestMultiTermConstantScore.java",0.709677419354839,0.767777777777778,0.864367816091954,6,900,435,4,2,2,4,2,4,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestMultiValuedNumericRangeQuery.java",0.695652173913043,0.572463768115942,0.622950819672131,5,138,61,3,2,4,1,4,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestNumericRangeQuery32.java",0.590909090909091,0.690672963400236,0.447963800904977,8,847,221,3,5,3,5,4,4,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestNumericRangeQuery64.java",0.555555555555556,0.706024096385542,0.414772727272727,8,830,176,3,5,3,5,4,4,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestPhraseQuery.java",0.594594594594595,0.549854791868345,0.519650655021834,6,1033,229,4,2,4,2,3,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestPositionIncrement.java",0.441176470588235,0.67219152854512,0.261603375527426,9,543,237,6,3,5,4,6,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestPrefixRandom.java",0.714285714285714,0.525477707006369,0.74,6,314,50,4,2,2,4,3,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestRegexpRandom2.java",0.642857142857143,0.516203703703704,0.535714285714286,6,432,224,2,4,4,2,3,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestRegexpRandom.java",0.708333333333333,0.59504132231405,0.768421052631579,5,242,95,3,2,3,2,3,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestSimilarity.java",0.678571428571429,0.634408602150538,0.765957446808511,6,279,94,4,2,3,3,4,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestSort.java",0.421875,0.500740009866798,0.406158357771261,10,2027,682,3,7,4,6,3,7,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestTermRangeQuery.java",0.608695652173913,0.727109515260323,0.819004524886878,6,557,221,4,2,3,3,2,4,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestTermScorer.java",0.533333333333333,0.33271719038817,0.490304709141274,6,541,361,5,1,3,3,2,4,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestTermVectors.java",0.46875,0.347826086956522,0.587278106508876,8,1242,676,4,4,5,3,3,5,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestTimeLimitingCollector.java",0.608695652173913,0.808755760368664,0.470588235294118,6,434,68,4,2,3,3,5,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestWildcard.java",0.6,0.540983606557377,0.257462686567164,6,610,268,4,2,4,2,5,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/TestWildcardRandom.java",0.68,0.578059071729958,0.760416666666667,5,237,96,3,2,4,1,3,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/store/TestBufferedIndexInput.java",0.416666666666667,0.822125813449024,0.48,6,461,75,5,1,2,4,4,2,0
