"issue_key","created","resolutiondate","days_to_solve"
"ZOOKEEPER-604","2009-12-01","2010-03-12","101"
"ZOOKEEPER-696","2010-03-10","2010-03-11","1"
"ZOOKEEPER-8","2008-06-10","2008-10-07","119"
"ZOOKEEPER-719","2010-03-19","2010-07-09","112"
"ZOOKEEPER-1969","2014-07-18","2014-07-18","0"
"ZOOKEEPER-1770","2013-09-30","2013-10-01","1"
"ZOOKEEPER-1241","2011-10-23","2011-10-24","1"
"ZOOKEEPER-1797","2013-10-18","2014-05-18","212"
"ZOOKEEPER-1799","2013-10-22","2013-10-22","0"
"ZOOKEEPER-204","2008-10-22","2008-11-19","28"
"ZOOKEEPER-1697","2013-05-01","2013-05-11","10"
"ZOOKEEPER-1404","2012-03-05","2012-12-14","284"
"ZOOKEEPER-805","2010-07-06","2014-04-30","1394"
"ZOOKEEPER-855","2010-08-26","2010-10-18","53"
"ZOOKEEPER-2030","2014-09-07","2014-09-17","10"
"ZOOKEEPER-973","2011-01-05","2012-01-23","383"
"ZOOKEEPER-1926","2014-05-08","2014-05-09","1"
"ZOOKEEPER-1798","2013-10-20","2013-11-14","25"
"ZOOKEEPER-740","2010-04-13","2014-04-25","1473"
"ZOOKEEPER-985","2011-02-09","2011-02-18","9"
"ZOOKEEPER-620","2009-12-10","2010-01-19","40"
"ZOOKEEPER-1501","2012-07-04","2012-09-07","65"
"ZOOKEEPER-1783","2013-10-07","2013-11-07","31"
"ZOOKEEPER-2013","2014-08-19","2014-08-20","1"
"ZOOKEEPER-370","2009-04-07","2009-04-08","1"
"ZOOKEEPER-1974","2014-07-19","2014-07-25","6"
"ZOOKEEPER-1013","2011-03-11","2011-03-15","4"
"ZOOKEEPER-937","2010-11-19","2010-12-07","18"
"ZOOKEEPER-831","2010-08-04","2010-09-17","44"
"ZOOKEEPER-112","2008-08-06","2008-09-05","30"
"ZOOKEEPER-1062","2011-05-13","2014-05-16","1099"
"ZOOKEEPER-582","2009-11-17","2009-11-20","3"
"ZOOKEEPER-867","2010-09-07","2010-09-14","7"
"ZOOKEEPER-689","2010-03-09","2010-03-09","0"
"ZOOKEEPER-1403","2012-03-02","2012-03-18","16"
"ZOOKEEPER-1192","2011-09-19","2011-11-05","47"
"ZOOKEEPER-367","2009-04-04","2009-04-17","13"
"ZOOKEEPER-1667","2013-03-14","2013-10-22","222"
"ZOOKEEPER-266","2009-01-05","2009-01-08","3"
"ZOOKEEPER-192","2008-10-15","2009-05-22","219"
"ZOOKEEPER-647","2010-01-15","2010-01-21","6"
"ZOOKEEPER-1496","2012-06-28","2012-09-17","81"
"ZOOKEEPER-1483","2012-06-11","2012-09-14","95"
"ZOOKEEPER-1984","2014-07-22","2014-07-23","1"
"ZOOKEEPER-1610","2012-12-26","2013-10-11","289"
"ZOOKEEPER-16","2008-06-10","2009-01-31","235"
"ZOOKEEPER-108","2008-08-01","2008-08-09","8"
"ZOOKEEPER-888","2010-10-06","2010-10-19","13"
"ZOOKEEPER-667","2010-02-11","2010-03-12","29"
"ZOOKEEPER-1514","2012-07-20","2012-08-02","13"
"ZOOKEEPER-1181","2011-09-13","2011-10-24","41"
"ZOOKEEPER-360","2009-04-02","2009-04-03","1"
"ZOOKEEPER-415","2009-05-21","2009-05-22","1"
"ZOOKEEPER-1419","2012-03-16","2012-03-20","4"
"ZOOKEEPER-1596","2012-12-03","2012-12-11","8"
"ZOOKEEPER-509","2009-08-19","2009-08-25","6"
"ZOOKEEPER-1358","2012-01-10","2012-01-16","6"
"ZOOKEEPER-1068","2011-05-23","2011-06-21","29"
"ZOOKEEPER-1478","2012-06-03","2012-12-13","193"
"ZOOKEEPER-1810","2013-11-06","2014-07-08","244"
"ZOOKEEPER-1560","2012-10-10","2012-10-31","21"
"ZOOKEEPER-1061","2011-05-10","2011-05-16","6"
"ZOOKEEPER-1222","2011-10-12","2014-07-08","1000"
"ZOOKEEPER-384","2009-04-27","2009-05-05","8"
"ZOOKEEPER-1725","2013-07-13","2014-03-31","261"
"ZOOKEEPER-1774","2013-10-01","2013-10-08","7"
"ZOOKEEPER-1111","2011-06-30","2011-07-19","19"
"ZOOKEEPER-1060","2011-05-10","2011-06-14","35"
"ZOOKEEPER-1154","2011-08-15","2011-09-05","21"
"ZOOKEEPER-2212","2015-06-10","2015-06-15","5"
"ZOOKEEPER-284","2009-02-02","2009-02-02","0"
"ZOOKEEPER-2039","2014-09-16","2014-09-18","2"
"ZOOKEEPER-2190","2015-05-14","2015-05-14","0"
"ZOOKEEPER-1714","2013-06-06","2013-06-21","15"
"ZOOKEEPER-921","2010-11-08","2010-12-29","51"
"ZOOKEEPER-1791","2013-10-11","2014-05-18","219"
"ZOOKEEPER-1860","2014-01-11","2014-01-13","2"
"ZOOKEEPER-898","2010-10-14","2010-10-28","14"
"ZOOKEEPER-720","2010-03-21","2010-04-12","22"
"ZOOKEEPER-629","2009-12-16","2009-12-18","2"
"ZOOKEEPER-787","2010-06-10","2010-09-15","97"
"ZOOKEEPER-53","2008-06-25","2008-06-25","0"
"ZOOKEEPER-1851","2013-12-23","2014-07-18","207"
"ZOOKEEPER-1206","2011-09-27","2011-09-29","2"
"ZOOKEEPER-1465","2012-05-10","2012-07-05","56"
"ZOOKEEPER-1628","2013-01-24","2013-01-25","1"
"ZOOKEEPER-1190","2011-09-17","2011-10-07","20"
"ZOOKEEPER-1323","2011-12-09","2011-12-14","5"
"ZOOKEEPER-49","2008-06-20","2008-08-05","46"
"ZOOKEEPER-820","2010-07-16","2010-10-20","96"
"ZOOKEEPER-1840","2013-12-14","2014-04-16","123"
"ZOOKEEPER-1493","2012-06-20","2012-07-29","39"
"ZOOKEEPER-181","2008-10-09","2008-10-10","1"
"ZOOKEEPER-1910","2014-04-11","2014-04-29","18"
"ZOOKEEPER-1949","2014-06-27","2015-02-11","229"
"ZOOKEEPER-252","2008-12-10","2009-01-31","52"
"ZOOKEEPER-566","2009-10-29","2009-11-12","14"
"ZOOKEEPER-930","2010-11-15","2010-11-16","1"
"ZOOKEEPER-1987","2014-07-24","2014-11-07","106"
"ZOOKEEPER-626","2009-12-15","2010-01-22","38"
"ZOOKEEPER-159","2008-10-06","2008-10-08","2"
"ZOOKEEPER-300","2009-02-05","2009-05-14","98"
"ZOOKEEPER-687","2010-03-04","2010-03-04","0"
"ZOOKEEPER-886","2010-10-05","2010-10-11","6"
"ZOOKEEPER-1168","2011-08-31","2011-09-01","1"
"ZOOKEEPER-382","2009-04-27","2009-04-29","2"
"ZOOKEEPER-1522","2012-07-30","2012-08-01","2"
"ZOOKEEPER-346","2009-03-23","2009-04-17","25"
"ZOOKEEPER-1578","2012-11-08","2012-12-17","39"
"ZOOKEEPER-58","2008-06-27","2008-07-27","30"
"ZOOKEEPER-404","2009-05-18","2009-05-19","1"
"ZOOKEEPER-2054","2014-10-07","2014-10-08","1"
"ZOOKEEPER-272","2009-01-13","2009-01-29","16"
"ZOOKEEPER-1917","2014-04-22","2014-10-13","174"
"ZOOKEEPER-63","2008-06-30","2008-08-27","58"
"ZOOKEEPER-602","2009-12-01","2015-06-18","2025"
"ZOOKEEPER-1351","2012-01-04","2012-01-16","12"
"ZOOKEEPER-1089","2011-06-09","2011-12-28","202"
"ZOOKEEPER-554","2009-10-14","2009-10-19","5"
"ZOOKEEPER-2213","2015-06-10","2015-06-11","1"
"ZOOKEEPER-1384","2012-02-01","2012-03-19","47"
"ZOOKEEPER-1344","2011-12-26","2012-03-17","82"
"ZOOKEEPER-238","2008-11-24","2009-08-27","276"
"ZOOKEEPER-178","2008-10-06","2008-10-10","4"
"ZOOKEEPER-115","2008-08-07","2008-10-13","67"
"ZOOKEEPER-1471","2012-05-21","2012-06-30","40"
"ZOOKEEPER-1861","2014-01-11","2014-02-14","34"
"ZOOKEEPER-281","2009-01-29","2009-03-05","35"
"ZOOKEEPER-1733","2013-07-20","2013-12-18","151"
"ZOOKEEPER-1699","2013-05-03","2014-05-21","383"
"ZOOKEEPER-1835","2013-12-12","2014-07-04","204"
"ZOOKEEPER-1657","2013-03-01","2013-09-18","201"
"ZOOKEEPER-460","2009-07-09","2009-08-03","25"
"ZOOKEEPER-540","2009-10-01","2009-10-09","8"
"ZOOKEEPER-1146","2011-08-04","2011-08-14","10"
"ZOOKEEPER-1374","2012-01-24","2012-02-06","13"
"ZOOKEEPER-221","2008-11-12","2008-11-19","7"
"ZOOKEEPER-2029","2014-09-05","2015-04-11","218"
"ZOOKEEPER-228","2008-11-18","2008-11-18","0"
"ZOOKEEPER-109","2008-08-01","2008-08-08","7"
"ZOOKEEPER-1101","2011-06-21","2011-08-01","41"
"ZOOKEEPER-614","2009-12-07","2009-12-11","4"
"ZOOKEEPER-1550","2012-09-26","2012-09-28","2"
"ZOOKEEPER-2197","2015-05-30","2015-06-02","3"
"ZOOKEEPER-1141","2011-08-02","2011-08-15","13"
"ZOOKEEPER-1395","2012-02-21","2012-03-30","38"
"ZOOKEEPER-1339","2011-12-22","2012-05-08","138"
"ZOOKEEPER-1185","2011-09-15","2011-09-27","12"
"ZOOKEEPER-468","2009-07-14","2009-07-16","2"
"ZOOKEEPER-611","2009-12-07","2009-12-08","1"
"ZOOKEEPER-1238","2011-10-20","2014-01-12","815"
"ZOOKEEPER-1603","2012-12-16","2013-09-26","284"
"ZOOKEEPER-427","2009-06-02","2009-06-18","16"
"ZOOKEEPER-1999","2014-07-30","2014-08-01","2"
"ZOOKEEPER-184","2008-10-13","2008-10-14","1"
"ZOOKEEPER-1900","2014-03-21","2014-06-30","101"
"ZOOKEEPER-833","2010-08-06","2011-09-05","395"
"ZOOKEEPER-1937","2014-06-11","2014-07-24","43"
"ZOOKEEPER-68","2008-07-07","2008-07-07","0"
"ZOOKEEPER-94","2008-07-25","2009-05-14","293"
"ZOOKEEPER-508","2009-08-17","2009-08-25","8"
"ZOOKEEPER-1086","2011-06-01","2011-10-19","140"
"ZOOKEEPER-593","2009-11-24","2010-01-26","63"
"ZOOKEEPER-512","2009-08-20","2009-10-27","68"
"ZOOKEEPER-1331","2011-12-19","2011-12-28","9"
"ZOOKEEPER-957","2010-12-13","2010-12-15","2"
"ZOOKEEPER-484","2009-07-23","2009-08-07","15"
"ZOOKEEPER-1128","2011-07-19","2011-07-28","9"
"ZOOKEEPER-884","2010-10-01","2010-11-05","35"
"ZOOKEEPER-766","2010-05-05","2010-05-05","0"
"ZOOKEEPER-656","2010-01-24","2010-01-25","1"
"ZOOKEEPER-405","2009-05-18","2009-05-20","2"
"ZOOKEEPER-1336","2011-12-21","2012-02-06","47"
"ZOOKEEPER-1448","2012-04-17","2013-09-05","506"
"ZOOKEEPER-1629","2013-01-25","2013-07-15","171"
"ZOOKEEPER-467","2009-07-14","2009-07-30","16"
"ZOOKEEPER-562","2009-10-26","2009-10-29","3"
"ZOOKEEPER-1863","2014-01-15","2014-07-15","181"
"ZOOKEEPER-232","2008-11-24","2008-11-24","0"
"ZOOKEEPER-615","2009-12-09","2009-12-11","2"
"ZOOKEEPER-737","2010-04-10","2010-05-04","24"
"ZOOKEEPER-2157","2015-04-03","2015-04-07","4"
"ZOOKEEPER-609","2009-12-03","2009-12-16","13"
"ZOOKEEPER-299","2009-02-05","2009-02-12","7"
