"issue_key","created","resolutiondate","days_to_solve"
"MAHOUT-141","2009-06-29","2009-12-12","166"
"MAHOUT-1503","2014-04-02","2014-04-15","13"
"MAHOUT-1501","2014-04-01","2014-04-05","4"
"MAHOUT-81","2008-10-10","2008-10-10","0"
"MAHOUT-1581","2014-06-14","2014-07-15","31"
"MAHOUT-819","2011-09-27","2011-09-27","0"
"MAHOUT-1150","2013-02-27","2013-03-11","12"
"MAHOUT-1247","2013-06-09","2013-06-09","0"
"MAHOUT-1624","2014-10-30","2015-03-28","149"
"MAHOUT-1577","2014-06-09","2014-06-09","0"
"MAHOUT-1379","2013-12-15","2013-12-15","0"
"MAHOUT-421","2010-06-22","2010-06-22","0"
"MAHOUT-181","2009-09-30","2009-10-14","14"
"MAHOUT-903","2011-11-29","2011-12-02","3"
"MAHOUT-410","2010-06-07","2010-06-07","0"
"MAHOUT-1","2008-01-30","2008-01-30","0"
"MAHOUT-1367","2013-11-29","2013-12-01","2"
"MAHOUT-1494","2014-03-28","2014-04-09","12"
"MAHOUT-1164","2013-03-15","2013-06-09","86"
"MAHOUT-813","2011-09-18","2011-09-18","0"
"MAHOUT-638","2011-03-28","2011-04-19","22"
"MAHOUT-129","2009-05-29","2009-05-29","0"
"MAHOUT-406","2010-05-31","2010-05-31","0"
"MAHOUT-849","2011-10-22","2011-10-22","0"
"MAHOUT-194","2009-11-02","2009-11-02","0"
"MAHOUT-1108","2012-10-31","2013-06-02","214"
"MAHOUT-1016","2012-05-18","2012-06-13","26"
"MAHOUT-91","2008-10-31","2008-10-31","0"
"MAHOUT-954","2012-01-24","2012-06-22","150"
"MAHOUT-780","2011-08-01","2011-08-03","2"
"MAHOUT-1536","2014-05-01","2014-06-22","52"
"MAHOUT-75","2008-08-20","2008-08-21","1"
"MAHOUT-1132","2012-12-30","2013-06-01","153"
"MAHOUT-788","2011-08-16","2011-08-17","1"
"MAHOUT-1497","2014-03-28","2014-04-18","21"
"MAHOUT-526","2010-10-16","2010-11-01","16"
"MAHOUT-999","2012-04-09","2012-04-11","2"
"MAHOUT-1131","2012-12-30","2013-03-12","72"
"MAHOUT-409","2010-06-03","2010-06-05","2"
"MAHOUT-1467","2014-03-17","2014-03-18","1"
"MAHOUT-495","2010-09-01","2010-09-21","20"
"MAHOUT-490","2010-08-28","2010-09-24","27"
"MAHOUT-152","2009-07-27","2009-07-27","0"
"MAHOUT-1287","2013-07-18","2013-07-27","9"
"MAHOUT-1439","2014-03-08","2014-06-27","111"
"MAHOUT-1555","2014-05-21","2014-05-26","5"
"MAHOUT-1116","2012-11-16","2012-11-16","0"
"MAHOUT-438","2010-07-11","2010-07-11","0"
"MAHOUT-1023","2012-06-03","2012-06-03","0"
"MAHOUT-380","2010-04-16","2010-04-16","0"
"MAHOUT-469","2010-08-12","2010-08-12","0"
"MAHOUT-1619","2014-10-07","2015-03-31","175"
"MAHOUT-1210","2013-05-11","2013-06-01","21"
"MAHOUT-1215","2013-05-16","2013-05-16","0"
"MAHOUT-911","2011-12-03","2012-06-04","184"
"MAHOUT-504","2010-09-20","2010-09-30","10"
"MAHOUT-1597","2014-07-22","2014-07-28","6"
"MAHOUT-871","2011-11-04","2011-11-28","24"
"MAHOUT-584","2011-01-13","2011-01-18","5"
"MAHOUT-428","2010-06-23","2010-07-06","13"
"MAHOUT-806","2011-09-12","2011-09-13","1"
"MAHOUT-434","2010-07-05","2010-07-05","0"
"MAHOUT-1029","2012-06-06","2012-06-22","16"
"MAHOUT-1141","2013-01-16","2013-03-12","55"
"MAHOUT-513","2010-09-28","2010-09-30","2"
"MAHOUT-1221","2013-05-20","2013-05-20","0"
"MAHOUT-1213","2013-05-15","2013-05-26","11"
"MAHOUT-1240","2013-06-04","2013-06-04","0"
"MAHOUT-1092","2012-10-08","2013-06-01","236"
"MAHOUT-961","2012-01-26","2013-06-06","497"
"MAHOUT-1125","2012-12-08","2013-01-17","40"
"MAHOUT-1070","2012-09-19","2013-06-01","255"
"MAHOUT-452","2010-07-28","2010-08-03","6"
"MAHOUT-477","2010-08-13","2010-08-13","0"
"MAHOUT-600","2011-01-29","2011-01-31","2"
"MAHOUT-1201","2013-04-30","2013-06-01","32"
"MAHOUT-118","2009-04-16","2009-04-19","3"
"MAHOUT-269","2010-01-27","2010-01-28","1"
"MAHOUT-1198","2013-04-29","2013-06-01","33"
"MAHOUT-1261","2013-06-13","2013-11-28","168"
"MAHOUT-1635","2014-12-18","2015-04-04","107"
"MAHOUT-1197","2013-04-24","2013-04-26","2"
"MAHOUT-814","2011-09-18","2011-09-27","9"
"MAHOUT-1146","2013-02-03","2013-03-11","36"
"MAHOUT-414","2010-06-13","2010-09-30","109"
"MAHOUT-112","2009-03-30","2009-04-07","8"
"MAHOUT-1517","2014-04-18","2014-04-19","1"
"MAHOUT-1690","2015-04-14","2015-05-31","47"
"MAHOUT-290","2010-02-13","2010-02-13","0"
"MAHOUT-1498","2014-03-30","2014-05-18","49"
"MAHOUT-203","2009-11-19","2010-01-03","45"
"MAHOUT-971","2012-02-03","2012-02-07","4"
"MAHOUT-367","2010-04-07","2010-04-07","0"
"MAHOUT-1086","2012-09-29","2012-10-11","12"
"MAHOUT-1415","2014-02-11","2014-02-11","0"
"MAHOUT-850","2011-10-25","2011-10-25","0"
"MAHOUT-378","2010-04-13","2010-09-24","164"
"MAHOUT-807","2011-09-13","2011-09-14","1"
"MAHOUT-1149","2013-02-10","2013-03-01","19"
"MAHOUT-1142","2013-01-18","2013-01-22","4"
"MAHOUT-569","2010-12-28","2011-01-17","20"
"MAHOUT-601","2011-01-30","2011-01-30","0"
"MAHOUT-1595","2014-07-09","2014-08-28","50"
"MAHOUT-1548","2014-05-06","2014-05-06","0"
"MAHOUT-273","2010-02-03","2010-02-03","0"
"MAHOUT-488","2010-08-27","2010-08-27","0"
"MAHOUT-1428","2014-03-02","2014-05-06","65"
"MAHOUT-955","2012-01-24","2012-06-04","132"
"MAHOUT-187","2009-10-16","2009-10-19","3"
"MAHOUT-856","2011-11-01","2011-11-01","0"
"MAHOUT-723","2011-06-05","2011-06-05","0"
"MAHOUT-1314","2013-08-18","2013-11-18","92"
"MAHOUT-1491","2014-03-26","2014-03-27","1"
"MAHOUT-692","2011-05-10","2011-06-04","25"
"MAHOUT-1496","2014-03-28","2014-04-20","23"
"MAHOUT-1118","2012-11-18","2012-11-19","1"
"MAHOUT-402","2010-05-28","2011-01-19","236"
"MAHOUT-828","2011-10-06","2011-10-06","0"
"MAHOUT-470","2010-08-13","2010-08-13","0"
"MAHOUT-616","2011-03-06","2011-03-20","14"
"MAHOUT-276","2010-02-07","2010-02-08","1"
"MAHOUT-1572","2014-06-04","2014-06-10","6"
"MAHOUT-516","2010-09-30","2011-01-18","110"
"MAHOUT-886","2011-11-14","2011-11-15","1"
"MAHOUT-587","2011-01-21","2011-01-24","3"
"MAHOUT-678","2011-04-22","2011-08-21","121"
"MAHOUT-1105","2012-10-25","2013-01-17","84"
"MAHOUT-1304","2013-08-07","2014-01-15","161"
"MAHOUT-1276","2013-07-09","2013-11-20","134"
"MAHOUT-1340","2013-09-23","2013-09-24","1"
"MAHOUT-1427","2014-03-01","2014-07-15","136"
"MAHOUT-431","2010-06-28","2010-06-30","2"
"MAHOUT-1180","2013-03-29","2013-05-03","35"
"MAHOUT-701","2011-05-18","2011-10-15","150"
"MAHOUT-230","2009-12-27","2009-12-31","4"
"MAHOUT-1119","2012-11-22","2013-03-11","109"
"MAHOUT-386","2010-04-27","2010-04-27","0"
"MAHOUT-1417","2014-02-13","2014-02-16","3"
"MAHOUT-594","2011-01-25","2011-01-26","1"
"MAHOUT-1006","2012-05-03","2012-06-04","32"
"MAHOUT-1707","2015-05-13","2015-05-22","9"
"MAHOUT-614","2011-02-21","2011-02-22","1"
"MAHOUT-1419","2014-02-18","2014-02-25","7"
